page,name,price,link
https://coinmarketcap.com/all/views/all/,Bytom,$0.109856,/currencies/bytom/markets/
https://coinmarketcap.com/all/views/all/,Kava.io,$4.29,/currencies/kava/markets/
https://coinmarketcap.com/all/views/all/,HUSD,$0.999554,/currencies/husd/markets/
https://coinmarketcap.com/all/views/all/,Nano,$1.03,/currencies/nano/markets/
https://coinmarketcap.com/all/views/all/,Siacoin,$0.003214,/currencies/siacoin/markets/
https://coinmarketcap.com/all/views/all/,Swipe,$2.03,/currencies/swipe/markets/
https://coinmarketcap.com/all/views/all/,Decentraland,$0.091659,/currencies/decentraland/markets/
https://coinmarketcap.com/all/views/all/,Nervos Network,$0.006283,/currencies/nervos-network/markets/
https://coinmarketcap.com/all/views/all/,MonaCoin,$1.92,/currencies/monacoin/markets/
https://coinmarketcap.com/all/views/all/,The Midas Touch Gold,$0.029107,/currencies/the-midas-touch-gold/markets/
https://coinmarketcap.com/all/views/all/,iExec RLC,$1.52,/currencies/rlc/markets/
https://coinmarketcap.com/all/views/all/,Blockstack,$0.222919,/currencies/blockstack/markets/
https://coinmarketcap.com/all/views/all/,Divi,$0.062875,/currencies/divi/markets/
https://coinmarketcap.com/all/views/all/,ZB Token,$0.246652,/currencies/zb-token/markets/
https://coinmarketcap.com/all/views/all/,Balancer,$16.20,/currencies/balancer/markets/
https://coinmarketcap.com/all/views/all/,DxChain Token,$0.002247,/currencies/dxchain-token/markets/
https://coinmarketcap.com/all/views/all/,Aragon,$3.45,/currencies/aragon/markets/
https://coinmarketcap.com/all/views/all/,THORChain,$0.667818,/currencies/thorchain/markets/
https://coinmarketcap.com/all/views/all/,Verge,$0.006438,/currencies/verge/markets/
https://coinmarketcap.com/all/views/all/,Horizen,$10.75,/currencies/horizen/markets/
https://coinmarketcap.com/all/views/all/,Status,$0.027535,/currencies/status/markets/
https://coinmarketcap.com/all/views/all/,Celsius,$0.393978,/currencies/celsius/markets/
https://coinmarketcap.com/all/views/all/,IOST,$0.006122,/currencies/iostoken/markets/
https://coinmarketcap.com/all/views/all/,Nexo,$0.164100,/currencies/nexo/markets/
https://coinmarketcap.com/all/views/all/,Aurora,$0.013922,/currencies/aurora/markets/
https://coinmarketcap.com/all/views/all/,Quant,$7.52,/currencies/quant/markets/
https://coinmarketcap.com/all/views/all/,MCO,$5.45,/currencies/crypto-com/markets/
https://coinmarketcap.com/all/views/all/,Zcoin,$8.02,/currencies/zcoin/markets/
https://coinmarketcap.com/all/views/all/,Energy Web Token,$12.74,/currencies/energy-web-token/markets/
https://coinmarketcap.com/all/views/all/,Komodo,$0.703354,/currencies/komodo/markets/
https://coinmarketcap.com/all/views/all/,Matic Network,$0.022633,/currencies/matic-network/markets/
https://coinmarketcap.com/all/views/all/,Steem,$0.221816,/currencies/steem/markets/
https://coinmarketcap.com/all/views/all/,BitShares,$0.026201,/currencies/bitshares/markets/
https://coinmarketcap.com/all/views/all/,KuCoin Shares,$0.972590,/currencies/kucoin-shares/markets/
https://coinmarketcap.com/all/views/all/,SwissBorg,$0.109019,/currencies/swissborg/markets/
https://coinmarketcap.com/all/views/all/,Hive,$0.255259,/currencies/hive-blockchain/markets/
https://coinmarketcap.com/all/views/all/,Reserve Rights,$0.010969,/currencies/reserve-rights/markets/
https://coinmarketcap.com/all/views/all/,TomoChain,$1.04,/currencies/tomochain/markets/
https://coinmarketcap.com/all/views/all/,Travala.com,$1.88,/currencies/travala/markets/
https://coinmarketcap.com/all/views/all/,XinFin Network,$0.006061,/currencies/xinfin-network/markets/
https://coinmarketcap.com/all/views/all/,ABBC Coin,$0.132335,/currencies/abbc-coin/markets/
https://coinmarketcap.com/all/views/all/,pNetwork,$1.28,/currencies/pnetwork/markets/
https://coinmarketcap.com/all/views/all/,Unibright,$0.478216,/currencies/unibright/markets/
