page,title,year of issue,genres,developer,download link
https://v.otxataba.net/games/torrent_igry/simulator/il-2-sturmovik-cliffs-of-dover-blitz-edition-codex-2011-2020-pc-licenzija/18-1-0-1487,IL-2 Sturmovik: Cliffs of Dover - Blitz Edition (+DLC Desert Wings - Tobruk) [CODEX] (2011-2020) скачать торрент Лицензия ,25.03.2011 / 14.12.2017,Simulator,"Team Fusion Simulations, 1C: Maddox Games",https://v.otxataba.net/index.php?do=download&id=2371
https://v.otxataba.net/games/torrent_igry/rpg/horizon-zero-dawn-complete-edition/2-1-0-1490,Horizon: Zero Dawn - Complete Edition (2020) скачать торрент RePack от xatab ,2020,RPG/Action/Adventure,Guerrilla,https://v.otxataba.net/index.php?do=download&id=2375
https://v.otxataba.net/games/torrent_igry/3d/x4_foundations_v1_21_dlc_2018_pc_124_repack_ot_xatab/3-1-0-798,X4: Foundations [v 3.30 + DLC] (2018) скачать торрент RePack от xatab ,2018 г.,3D/Action/Strategy/Simulation,Egosoft,https://v.otxataba.net/index.php?do=download&id=2372
https://v.otxataba.net/games/torrent_igry/3d/assetto_corsa_competizione_update_1_2019_pc_124_repack_ot_xatab/3-1-0-1032,Assetto Corsa Competizione  (v 1.5.4+DLC) (2019) скачать торрент RePack от xatab ,2019 г.,3D/Racing/Simulator,Kunos Simulazioni,https://v.otxataba.net/index.php?do=download&id=2368
https://v.otxataba.net/games/torrent_igry/rpg/phoenix-point-2019-repack-ot-xatab/2-1-0-1204,Phoenix Point - Ultra Edition [1.6.1+DLC] (2019) скачать торрент RePack от xatab ,2019,RPG/3D/Strategy,Snapshot Games,https://v.otxataba.net/index.php?do=download&id=2367
https://v.otxataba.net/games/torrent_igry/3rd_person/subnautica_unknown_worlds_entertainment_eng_124_rus_124_multi19_repack_by_xatab/4-1-0-530,Subnautica [65786] (2018) скачать торрент RePack от xatab ,23 янв. 2018,3rd Person/Action/1st Person,Unknown Worlds Entertainment,https://v.otxataba.net/index.php?do=download&id=2369
https://v.otxataba.net/games/torrent_igry/action/fast-amp-furious-crossroads/5-1-0-1489,Fast & Furious Crossroads (2020) скачать торрент RePack от xatab ,2020,Action/Adventure/Racing,Slightly Mad Studios,https://v.otxataba.net/index.php?do=download&id=2374
https://v.otxataba.net/games/torrent_igry/strategy/command-amp-conquer-remastered-collection/7-1-0-1408,Command & Conquer Remastered Collection [1.153.11 Build 19704] (2020) скачать торрент RePack от xatab ,2020,Strategy/Real-time,Petroglyph Games,https://v.otxataba.net/index.php?do=download&id=2376
https://v.otxataba.net/games/torrent_igry/3d/empyrion-galactic-survival/3-1-0-1486,Empyrion Galactic Survival [v 1.0.3047] (2015) скачать торрент RePack от xatab ,2015,3D/Simulator,Eleon Game Studios,https://v.otxataba.net/index.php?do=download&id=2366
https://v.otxataba.net/games/torrent_igry/rpg/horizon-zero-dawn-complete-edition-codex-2017-2020-pc-licenzija/2-1-0-1488,Horizon: Zero Dawn - Complete Edition [CODEX] (2017-2020) скачать торрент Лицензия ,28 февраля 2017 для PlayStation 4 / 07 августа 2020 для PC,RPG/Action/Adventure,Guerrilla,https://v.otxataba.net/index.php?do=download&id=2373
https://v.otxataba.net/games/torrent_igry/fighting/naruto_shippuden_ultimate_ninja_storm_4_deluxe_edition_rus_92_eng_repack_ot_xatab/21-1-0-480,Naruto Shippuden: Ultimate Ninja Storm 4 [v.1.09+DLC] (2016) скачать торрент RePack от xatab ,2016,Торрент игры/Fighting,CyberConnect2,https://v.otxataba.net/index.php?do=download&id=2370
https://v.otxataba.net/games/torrent_igry/3d/poly-bridge-2/3-1-0-1483,Poly Bridge 2 (2020) скачать торрент RePack от xatab ,2020,3D/Simulation,Dry Cactus,https://v.otxataba.net/index.php?do=download&id=2358
https://v.otxataba.net/games/torrent_igry/rpg/mount-amp-blade-ii-bannerlord/2-1-0-1332,Mount & Blade II: Bannerlord [e1.4.2 Hotfix MAIN BRANCH /Early access)] (2020) скачать торрент RePack от xatab ,2020,RPG/Action/Strategy,TaleWorlds Entertainment,https://v.otxataba.net/index.php?do=download&id=2365
https://v.otxataba.net/games/torrent_igry/strategy/endless_space_2_2016_pc_124_repack_ot_xatab/7-1-0-392,Endless Space 2 (v.1.5.30.S5+DLC) (2016) скачать торрент RePack от xatab ,6 окт. 2016,Strategy,AMPLITUDE Studios,https://v.otxataba.net/index.php?do=download&id=2354
https://v.otxataba.net/games/torrent_igry/3d/ultimate_fishing_simulator_v_0_9_3_342_124_early_access_2017_pc_124_repack/3-1-0-643,Ultimate Fishing Simulator [v 2.20.8:496+DLC] (2017) скачать торрент RePack от xatab ,2017,3D/Simulation/Simulator,"Ultimate Games S.A. , Bit Golem",https://v.otxataba.net/index.php?do=download&id=2357
https://v.otxataba.net/games/torrent_igry/3rd_person/blacksad-under-the-skin-2019-repack-ot/4-1-0-1191,Blacksad: Under the Skin [v1.0.5] (2019) скачать торрент RePack от xatab ,2019,3rd Person/Action/Adventure,"Pendulo Studios, YS Interactive",https://v.otxataba.net/index.php?do=download&id=2363
https://v.otxataba.net/games/torrent_igry/rpg/hellpoint/2-1-0-1479,Hellpoint [1.01 Build 5361986] (2020) скачать торрент RePack от xatab ,2020,RPG/Action/Horror,Cradle Games,https://v.otxataba.net/index.php?do=download&id=2360
https://v.otxataba.net/games/torrent_igry/action/relicta/5-1-0-1484,Relicta (2020) скачать торрент RePack от xatab ,2020,Action/Adventure,Mighty Polygon,https://v.otxataba.net/index.php?do=download&id=2359
