Bitcoin (BTC),"$9 710,86"
Ethereum (ETH),"$266,09"
XRP (XRP),"$0,275756"
Bitcoin Cash (BCH),"$381,80"
Bitcoin SV (BSV),"$289,72"
Litecoin (LTC),"$73,94"
Tether (USDT),"$1,00"
EOS (EOS),"$4,12"
Binance Coin (BNB),"$22,29"
Tezos (XTZ),"$3,62"
